0;0.01
1;0.03
2;0.078
3;0.145
4;0.194
5;0.18
6;0.265
7;0.265
8;0.365
9;0.31
10;0.248
11;0.323
12;0.341
13;0.338
14;0.333
15;0.404
16;0.406
17;0.466
18;0.385
19;0.447
20;0.424
21;0.346
22;0.398
23;0.419
24;0.361
25;0.415
26;0.384
27;0.402
28;0.442
29;0.45
30;0.445
31;0.413
32;0.401
33;0.429
34;0.374
35;0.42
36;0.419
37;0.371
38;0.38
39;0.425
40;0.466
41;0.45
42;0.391
43;0.406
44;0.379
45;0.432
46;0.424
47;0.404
48;0.353
49;0.422
50;0.417
51;0.385
52;0.476
53;0.435
54;0.368
55;0.399
56;0.387
57;0.353
58;0.323
59;0.364
60;0.368
61;0.404
62;0.438
63;0.315
64;0.375
65;0.447
66;0.436
67;0.426
68;0.429
69;0.411
70;0.472
71;0.397
72;0.317
73;0.328
74;0.421
75;0.425
76;0.433
77;0.354
78;0.335
79;0.4
80;0.35
81;0.221
82;0.309
83;0.319
84;0.383
85;0.362
86;0.402
87;0.405
88;0.35
89;0.258
90;0.38
91;0.439
92;0.402
93;0.385
94;0.378
95;0.42
96;0.406
97;0.351
98;0.389
99;0.491
