Acido Nalidixico|18,351,513,710,1216,1261,1518,1649,1681,1757,1977,1986,2216,2313,2581,3200,3423,3860,3977,4525,4834,4846,5148,5259,5316,5388,5646,6117,6357,6384,6436,6580,6918,8951,10514,10978,12152,13118,13299,13339,14374,14461,15369,15637,16040,16154,16415,16556,16762,16982,16994,17681,19629,19885,20330,20849,21689,21701,21713,22090,22722,23300,23789,24045,24284,24302,25101,25347,25687,27039,27386,27503,27577,27886,27955,28229,29174,31381,31397,31526,32357,36384,36476,36490,36504,36775,36788,39980,39997,41821,41993,43480,43594,43669,43707,45697,47506,47971,48348,49671,52097,52113,52175,52380,53369,53924,53947,54400,55754,55840,55865,57059,57111,57463,57629,58676,58795,59044,59274,59560,61081,61990,62042,62524,62842,65175,65776,66590,67521,68220,68458,70897,70909,70921,70933,70945,71005,72783,72792,73762,73950,74023,74051,74118,74165,74543,74554,74611,74920,74996,75883,76720,77585,78190,78457,79007,79020,79664,80588,80962,80985,81423,82002,82120,82133,82350,83160,83500,83650,84402,86200,86660,87583,87993,88019,88925,89833,92854,93634,94904,96256,96452,98988,100766,100824,103821,104066,106895,107384,107629,107640,107651,107759,109807,112411,112423,112490,112502,112514,112859,113743,114650,114658,114667,116143,118201,120459,120839,120856,120982,121102,121198,121700,122408,122761,124265,124674,124690,125117,125153,125692,125889,126494,126972,128410,128422,128434,129329,131333,131411,131447,131918,132971,133463,135317,136995,137126,137494,137588,138271,138281,139328,139969,140421,141205,141216,141862,141914,142123,142407,142418,142427,142545,145078,145759,145771,146420,146899,146911,148342,149255,149655,149904,150225,150265,151575,151590,151756,152079,152442,152538,152705,153300,153363,153653,153747,153805
Acido Pipemidico|104383,107739,111732,120989,125154,126973,131334,131448,135318,138282,139970,141206,141217,142124,142419,142428,145079,145760,146900,146912,149656,152443,153748,153806
