0;0.0479;0.5696
1;0.0782;0.6068
2;0.1333;0.9871
3;0.2548;4.185
4;0.4552;4.2033
5;0.5574;4.2033
6;0.5093;4.2033
7;0.7025;4.2033
8;1.0391;4.9328
9;1.2391;4.9328
10;1.4981;4.9328
11;1.2439;4.9328
12;1.9118;4.9328
13;1.651;4.9328
14;1.6817;4.9328
15;1.6422;4.9328
16;1.5017;4.9328
17;1.6327;4.9328
18;1.5967;4.9328
19;1.5845;4.9328
20;1.7016;4.9328
21;2.1271;4.9328
22;2.1847;4.9328
23;2.4617;4.9328
24;2.0546;4.9328
25;2.2052;4.9328
26;2.469;4.9328
27;2.3655;4.9328
28;2.6533;4.9328
29;2.3654;4.9328
30;1.9326;4.9328
31;2.1988;4.9328
32;2.3633;4.9328
33;2.5983;4.9328
34;2.0012;4.9328
35;2.5793;4.9328
36;2.208;4.9328
37;2.3525;4.9328
38;2.6;4.9328
39;2.4687;4.9328
40;2.4644;4.9328
41;2.2747;4.9328
42;2.701;4.9328
43;2.8901;4.9328
44;2.6156;4.9328
45;2.1174;4.9328
46;2.25;4.9328
47;2.123;4.9328
48;1.7914;4.9328
49;1.898;4.9328
50;2.152;4.9328
51;2.0823;4.9328
52;2.43;4.9328
53;1.8798;4.9328
54;2.3002;4.9328
55;2.1133;4.9328
56;2.2667;4.9328
57;2.1895;4.9328
58;1.6521;4.9328
59;2.196;4.9328
60;2.2806;4.9328
61;2.6341;4.9328
62;2.6622;4.9328
63;2.1411;4.9328
64;2.3408;4.9328
65;2.4659;4.9328
66;2.3127;4.9328
67;2.0117;4.9328
68;2.0756;4.9328
69;1.6612;4.9328
70;2.023;4.9328
71;2.41;4.9328
72;2.3659;4.9328
73;2.174;4.9328
74;2.7165;4.9328
75;2.53;4.9328
76;2.5837;4.9328
77;2.2623;4.9328
78;2.3071;4.9328
79;2.3485;4.9328
80;2.0064;4.9328
81;2.4339;4.9328
82;2.2357;4.9328
83;2.3069;4.9328
84;2.7013;4.9328
85;2.5684;4.9328
86;2.2231;4.9328
87;2.2895;4.9328
88;2.535;4.9328
89;2.0467;4.9328
90;1.7291;4.9328
91;2.3523;4.9328
92;2.0288;4.9328
93;1.996;4.9328
94;1.6565;4.9328
95;1.8669;4.9328
96;2.4226;4.9328
97;2.4005;6.1661
98;2.3394;6.1661
99;2.4367;6.1661
