1|50,52,53,54,55,56,57,58,59
2|54,55,60,62,63,64,67,70,74
3|50,52,53,57,59,60,61,63,66
4|52,54,55,56,58,60,61,62,63
5|54,55,57,59,60,61,62,63,64
6|48,50,51,52,53,54,55,56,57
7|51,52,53,54,55,56,57,58,59
8|52,53,54,55,56,57,58,59,60
9|51,52,53,54,55,56,57,58,59
10|51,52,53,54,55,56,57,58,59
11|50,51,52,53,54,55,56,57,58
12|51,52,53,54,55,56,57,58,59
13|50,51,52,53,54,55,56,57,58
