AC|55,56,57,58,59,60,61,62,63
AL|68,71,85,87,94,96,100,104,107
AP|82,83,84,85,86,87,88,89,90
CE|53,54,55,57,58,59,60,61,62
ES|69,70,71,73,74,75,76,77,78
GO|50,51,52,53,54,55,56,57,58
MA|75,NA,NA,NA,NA,NA,NA,NA,NA
MG|50,51,52,53,54,55,56,57,58
MS|48,51,52,53,54,55,56,57,58
MT|55,NA,NA,NA,NA,NA,NA,NA,NA
PA|52,54,55,58,63,64,67,68,71
PB|54,55,56,60,63,64,65,66,69
PE|51,53,54,55,56,57,60,63,64
PI|53,55,57,61,68,69,78,80,81
PR|50,51,53,54,55,56,57,58,59
RJ|50,52,54,55,56,57,59,60,61
RN|50,51,52,53,54,55,56,57,58
RO|88,95,96,98,99,103,104,105,106
RR|74,88,90,91,92,95,96,99,100
RS|52,53,54,55,56,57,58,59,60
SE|64,69,71,76,77,80,81,82,83
TO|51,52,55,56,57,60,61,62,63
