0;0.008
1;0.003
2;0.002
3;0.004
4;0.003
5;0.006
6;0.002
7;0.003
8;0.004
9;0.003
10;0.004
11;0.002
12;0.002
13;0.001
14;0.004
15;0.003
16;0.003
17;0.002
18;0.003
19;0.005
20;0.002
21;0.002
22;0.002
23;0.001
24;0.004
25;0.001
26;0.002
27;0.004
28;0.004
29;0.007
30;0.015
31;0.005
32;0.008
33;0.009
34;0.004
35;0.001
36;0.002
37;0.007
38;0.011
39;0.002
40;0.005
41;0.008
42;0.005
43;0.001
44;0.002
45;0.003
46;0.001
47;0.005
48;0.005
49;0.001
50;0.01
51;0.009
52;0.021
53;0.011
54;0.008
55;0.008
56;0.003
57;0.002
58;0.003
59;0.001
60;0.006
61;0.002
62;0.002
63;0.003
64;0.005
65;0.006
66;0.002
67;0.004
68;0.002
69;0.003
70;0.006
71;0.003
72;0.007
73;0.006
74;0.01
75;0.016
76;0.006
77;0.008
78;0.005
79;0.006
80;0.006
81;0.006
82;0.003
83;0.006
84;0.003
85;0.004
86;0.006
87;0.003
88;0.004
89;0.008
90;0.01
91;0.002
92;0.007
93;0.004
94;0.005
95;0.002
96;0.007
97;0.007
98;0.005
99;0.002
