0;0.001
1;0.004
2;0.002
3;0.004
4;0.002
5;0.003
6;0.007
7;0.003
8;0.003
9;0.002
10;0.005
11;0.012
12;0.001
13;0.002
14;0.004
15;0.002
16;0.002
17;0.002
18;0.002
19;0.003
20;0.003
21;0.003
22;0.003
23;0.002
24;0.003
25;0.003
26;0.002
27;0.006
28;0.004
29;0.005
30;0.002
31;0.001
32;0.004
33;0.007
34;0.004
35;0.009
36;0.006
37;0.002
38;0.006
39;0.003
40;0.003
41;0.004
42;0.004
43;0.007
44;0.004
45;0.003
46;0.003
47;0.001
48;0.015
49;0.003
50;0.002
51;0.004
52;0.002
53;0.003
54;0.004
55;0.005
56;0.002
57;0.005
58;0.009
59;0.013
60;0.005
61;0.011
62;0.003
63;0.002
64;0.007
65;0.01
66;0.002
67;0.002
68;0.004
69;0.003
70;0.002
71;0.002
72;0.003
73;0.003
74;0.003
75;0.003
76;0.002
77;0.001
78;0.001
79;0.002
80;0.002
81;0.001
82;0.004
83;0.001
84;0.001
85;0.001
86;0.002
87;0.008
88;0.009
89;0.003
90;0.003
91;0.003
92;0.002
93;0.003
94;0.012
95;0.005
96;0.005
97;0.012
98;0.002
99;0.002
