0;0.01
1;0.047
2;0.11
3;0.181
4;0.217
5;0.296
6;0.315
7;0.359
8;0.378
9;0.375
10;0.395
11;0.479
12;0.521
13;0.371
14;0.491
15;0.387
16;0.384
17;0.371
18;0.387
19;0.38
20;0.327
21;0.42
22;0.33
23;0.358
24;0.358
25;0.383
26;0.439
27;0.369
28;0.461
29;0.439
30;0.314
31;0.489
32;0.382
33;0.436
34;0.358
35;0.386
36;0.417
37;0.403
38;0.352
39;0.35
40;0.345
41;0.404
42;0.403
43;0.424
44;0.353
45;0.402
46;0.399
47;0.466
48;0.376
49;0.339
50;0.392
51;0.349
52;0.324
53;0.371
54;0.326
55;0.354
56;0.4
57;0.383
58;0.38
59;0.404
60;0.475
61;0.362
62;0.402
63;0.444
64;0.336
65;0.384
66;0.408
67;0.307
68;0.404
69;0.416
70;0.419
71;0.448
72;0.411
73;0.459
74;0.424
75;0.465
76;0.422
77;0.41
78;0.4
79;0.402
80;0.372
81;0.387
82;0.396
83;0.364
84;0.371
85;0.341
86;0.438
87;0.297
88;0.325
89;0.412
90;0.436
91;0.314
92;0.43
93;0.392
94;0.442
95;0.334
96;0.39
97;0.431
98;0.397
99;0.467
