48|4|0|0|4
50|76|7|43|26
51|190|10|110|70
52|304|17|158|129
53|309|14|149|146
54|634|13|265|356
55|813|31|407|375
56|782|18|449|315
57|1324|22|824|478
58|951|17|569|365
59|676|20|333|323
60|690|20|403|267
61|694|31|444|219
62|1348|41|839|468
63|1746|55|1259|432
64|1146|50|774|322
65|1359|33|939|387
66|1268|41|964|263
67|1559|59|1098|402
68|1577|56|1117|404
69|1613|51|1154|408
70|1320|40|885|395
71|1719|54|1226|439
72|1884|58|1407|419
73|1700|51|1302|347
74|2102|75|1510|517
75|3516|73|2784|659
76|2941|81|2278|582
77|2418|82|1891|445
78|1641|67|1155|419
79|4928|138|4068|722
80|3911|97|3083|731
81|3388|114|2567|707
82|4015|145|3009|861
83|4233|139|3225|869
84|3210|95|2555|560
85|4031|118|3138|775
86|2551|74|1884|593
87|3079|89|2183|807
88|2691|85|1947|659
89|2715|89|1995|631
90|3444|139|2559|746
91|3195|141|2387|667
92|4084|125|3135|824
93|5775|242|4376|1157
94|4486|209|3295|982
95|3692|139|2781|772
96|3901|167|2816|918
97|3807|175|2792|840
98|4325|203|3088|1034
99|4159|175|3142|842
100|3559|171|2613|775
101|3847|174|2826|847
102|3544|158|2470|916
103|2619|131|1890|598
104|4114|214|2987|913
105|2081|87|1445|549
106|2741|99|1990|652
107|2728|108|2072|548
108|3310|150|2526|634
109|2856|158|2079|619
110|3087|136|2279|672
111|2682|128|2013|541
112|15|2|9|4
