AC|8398|144|4897|3357
AL|176|4|108|64
AP|2889|173|1470|1246
CE|1400|35|711|654
ES|1971|86|1352|533
GO|4475|79|2616|1780
MA|27|0|2|25
MG|1346|61|786|499
MS|3099|34|801|2264
MT|5|0|4|1
PA|729|36|220|473
PB|480|0|179|301
PE|379|18|205|156
PI|3371|176|2012|1183
PR|28883|1187|22014|5682
RJ|2797|181|2121|495
RN|7933|434|3563|3936
RO|1697|107|1084|506
RR|242|0|105|137
RS|80945|2806|67214|10925
SE|351|20|165|166
TO|3514|220|2331|963
